School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Rutgers University-Newark,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Professional,High,On-campus,0-None,50000,36762,16074,56836,Merit,31,0.23,7467,46941,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Sacred Heart University,Northeast (New England),New York City,Suburb: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,,50404,19140,73544,Merit,68,0.89,32345,,No,20000,President's Excellence Scholarship,The top Merit Scholarship awarded to a select group of applicants. All students are automatically considered upon admission. No separate application is needed.,30404,53544,Automatic consideration,Both,,early_admission
Saginaw Valley State University,Midwest (Great Lakes),,Suburb: Midsize,Coeducational,No,Professional,Very High,On-campus,0-None,35000,28752,11400,44152,Merit,145,0.9,12426,31726,No,,,,,TBD,Unclear,,,
Saint Anselm College,Northeast (New England),"Boston, MA",Suburb: Midsize,Coeducational,No,Balanced,Exclusively,On-campus,3-Somewhat,20000,48920,17020,69940,Both,15,1,50459,16871,No,30000,Presidential Scholarship,The premier Merit Scholarship offered. All applicants are automatically considered based on their admission application.,18920,39940,Unclear,Both,,early_admission; generous_aid; affordable
Saint John's University MN,Midwest (Great Plains),,Rural: Fringe,Men's,No,Arts and Sciences,Very High,On-campus,3-Somewhat,30000,55816,12430,72246,Both,49,1,40452,29620,No,,,,,TBD,Unclear,Early Action Only,,early_admission; affordable
Saint Joseph's University,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,Coeducational,No,Professional,High,Off-campus,3-Somewhat,35000,53260,16240,73500,Merit,87,0.92,40470,30610,No,Full Tuition,John P. McNulty Scholarship for Leadership in Science & M,"A program for female students in STEM fields that requires a separate application. The top general merit award is the Presidential Scholarship, which is awarded automatically upon admission.",0,20240,Requires application,Both,,early_admission
Saint Leo University,Southeast,,Town: Fringe,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,,28360,15724,48084,Merit,No data,,No data,,No,50% tuition,Study Florida 50% Tuition Scholarship,This award is for international students who are transferring to Saint Leo from another Florida institution. It is not for first-year students.,14180,33904,Automatic consideration,,,generous_aid
Saint Louis University,Midwest (Great Plains),,City: Large,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,,55760,15280,75040,Both,No data, No data ,No data,,No,Full Tuition,Presidential Scholarship,"SLU's most prestigious scholarship. A separate application is required after admission, and finalists are invited to campus for an interview.",0,19280,Requires application,Both,,early_admission; generous_aid
Saint Mary's College of California,West Coast,SF/Silicon Valley,Suburb: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,30000,57803,17600,79403,Both,64,1,51482,25552,No,,,,,TBD,Unclear,Early Action Only,,early_admission; generous_aid; affordable
Saint Michael's College,Northeast (New England),,Suburb: Midsize,Coeducational,No,Arts and Sciences,Very High,On-campus,3-Somewhat,,51450,17070,72520,Merit,45,0.98,38666,,No,30000,International Student Scholarship,All admitted international students are automatically considered for merit-based scholarships and need-based grants. The CSS Profile is recommended for need-based aid.,21450,42520,Automatic consideration,Early Action Only,,early_admission
Salve Regina University,Northeast (New England),,Suburb: Large,Coeducational,No,Professional,High,Off-campus,3-Somewhat,40000,50100,18550,72650,Both,59,0.96,33489,35941,,,,,,,Unclear,Both,,early_admission
Sam Houston State University,South (Central),,Town: Distant,Coeducational,No,Professional,Very High,On-campus,0-None,15000,23670,11720,39390,Merit,89,0.65,20156,14584,No,OOS waiver,Tuition Waiver,"This is not a scholarship but a policy. Students who receive a competitive university scholarship of at least $1,000 may be eligible for a waiver of out-of-state tuition.",11370,27090,Automatic consideration,,,affordable
Samford University,Southeast (Deep South),,Suburb: Large,Coeducational,No,Professional,Majority,Off-campus,5-Very,15000,40150,13056,57206,Merit,33,0.39,40360,13944,No,,,,,TBD,Unclear,,,affordable
San Diego State University,West Coast,"San Diego, CA",City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,25000,21328,23030,48358,Merit,62,0.06,25060,20740,No,not specified,Aztec Scholarships,A general application portal for various scholarships for admitted and continuing students. Most scholarships require the separate Aztec Scholarship application.,,,Requires application,,,affordable
San Francisco State University,West Coast,SF/Silicon Valley,City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,,14670,22266,40936,,,,,,No,,,,,,,,,
San Jose State University,West Coast,SF/Silicon Valley,City: Large,Coeducational,No,Professional,High,On-campus,0-None,30000,21010,16035,41045,Merit,147,0.11,17293,26445,No,,,,,TBD,Unclear,,,affordable
Santa Clara University,West Coast,SF/Silicon Valley,City: Midsize,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,40000,61293,19893,85186,Merit,54,0.11,46872,35353,No,Full ride+stipend,Johnson Scholars Program,"A comprehensive scholarship for students with the highest academic achievement, leadership, and service. Consideration is automatic for all first-year applicants; finalists are invited to interview.",0,3000,Automatic consideration,Both,Yes,early_admission
Sarah Lawrence College,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Arts and Sciences,High,On-campus,0-None,65000,66862,18426,89288,Both,43,0.57,23203,62021,No,,,,,TBD,Unclear,Both,,early_admission
Savannah College of Art and Design,Southeast (Deep South),,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,55000,41630,18123,63753,Both,1770,0.81,11151,50937,,,,,,,Unclear,,,
Scripps College,West Coast,"Los Angeles, CA",Suburb: Large,Women's,No,Arts and Sciences,Very High,On-campus,0-None,35000,65950,22136,92086,Both,14,0.33,54325,34107,Yes (Need-aware),30000,James E. Scripps Scholarship,All applicants are automatically considered for merit-based scholarships. No separate application is required.,35950,62086,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid
Seattle University,West Coast,"Seattle, WA",City: Large,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,50000,56721,15702,76423,Both,283,0.77,27169,45864,No,30000,Merit Scholarship,"All first-year applicants, including international students, are automatically considered for Merit Scholarships upon admission.",26721,46423,Automatic consideration,Early Action Only,,early_admission
Seton Hall University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,,53170,17970,75140,Both,No data, No data ,No data,,No,20000,University Scholarship,The top Merit Scholarship awarded. All students are automatically considered based on the strength of their admission application. No separate application is needed.,33170,55140,Automatic consideration,Early Action Only,,early_admission; generous_aid
Seton Hill University,Northeast (Mid-Atlantic),,Suburb: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,,42944,14134,61078,,,,,,No,,,,,,,,,
The University of the South,Southeast,,Rural: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,4-Moderately,15000,56120,16028,76148,Both,71,0.99,60411,12631,Yes (Need-aware),Full ride,Vice-Chancellor's and Benedict Scholarship,These are premier Merit Scholarships. All applicants for admission are automatically considered. Top candidates may be invited for an interview.,0,4000,Automatic consideration,Both,Yes,early_admission; generous_aid; affordable
Shippensburg University of Pennsylvania,Northeast (Mid-Atlantic),,Town: Fringe,Coeducational,No,Professional,Very High,On-campus,0-None,20000,15648,12952,32600,Merit,27,0.87,15274,15912,No,,,,,,,,,affordable
Siena College,Northeast (Mid-Atlantic),,Suburb: Large,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,,45805,17085,66890,Both,No data, No data ,No data,,No,not specified,Presidential Scholarship,The premier merit-based scholarship. All first-year applicants are automatically considered based on their admission application. No separate application is required.,,,Automatic consideration,Both,,early_admission; generous_aid
Simmons University,Northeast (New England),"Boston, MA",City: Large,Women's,No,Balanced,Minority,On-campus,0-None,40000,46874,17618,68492,Merit,73,0.97,26757,39885,No,Full ride,Distinguished Scholar Award,"A competitive, full-tuition scholarship. Requires a separate application, essay, and interview for finalists.",0,4000,Requires application,Early Action Only,,early_admission
Simpson College,Midwest (Great Plains),,Town: Fringe,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,30000,47656,10500,62156,Need,28,1,34168,26132,,,,,,,Unclear,,,affordable
Skidmore College,Northeast (Mid-Atlantic),,Suburb: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,15000,67140,17940,89080,Limited,102,0.43,72426,13794,Yes (Need-aware),20000,STEM subjects,The link indicates Skidmore offers the Porter/Wachenheim Presidential Scholarship in Science and Mathematics. No separate application is required; recipients are chosen from the applicant pool.,47140,69080,Requires application,Early Decision only,Yes,early_admission; generous_aid; affordable
Smith College,Northeast (New England),England),City: Small,Women's,No,Arts and Sciences,High,On-campus,1-Historically,10000,65178,22570,91748,Merit,140,0.44,79023,7855,Yes (Need-aware),22500,Stride Scholarship,A program for students with strong academic records. Requires a separate application. Scholars receive a stipend and work as paid research assistants to a faculty member for two years.,42678,69248,Requires application,Early Decision only,Yes,early_admission; generous_aid; affordable
Soka University of America,West Coast,"Los Angeles, CA",Suburb: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,5000,38728,14378,57106,Both,248,0.99,51377,3965,Yes (Need-aware),Full ride+stipend,Global Merit Scholarship,All admitted students are automatically considered for this merit-based scholarship. No separate application is required.,0,0,Automatic consideration,Early Action Only,,early_admission; generous_aid; affordable
South Dakota School of Mines & Technology,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,,14900,10800,29700,Merit,13,0.46,3817,,No,7000,Presidential Scholarship,"The Surbeck Scholarship is the premier award. International students can be considered for Merit Scholarships, reducing tuition to the in-state rate. Consideration is automatic with the admission application.",7900,22700,Automatic consideration,,,
South Dakota State University,Midwest (Great Plains),,Town: Remote,Coeducational,No,Professional,Very High,On-campus,0-None,25000,12809,10176,26985,Merit,147,0.43,4935,21436,No,,,,,,Unclear,,,affordable
Southeast Missouri State University,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,Very High,Off-campus,0-None,20000,11247,11810,27057,Merit,257,0.81,7677,17304,No,8000,International Academic Excellence award,A merit-based scholarship for international students. Awarded automatically upon admission to eligible students based on their high school GPA. No separate application needed.,3247,19057,Automatic consideration,,,affordable
Southeastern Louisiana University,Southeast (Deep South),,City: Small,Coeducational,No,Professional,Very High,On-campus,0-None,20000,20851,9430,34281,Merit,117,0.73,16571,17710,No,,,,,TBD,Unclear,,,affordable
Southern Arkansas University Main Campus,South (Central),,Town: Remote,Coeducational,No,Professional,High,On-campus,0-None,,15690,7358,27048,Merit,35,0.72,13113,,No,10000,Presidential Scholarship,The top Merit Scholarship available to international students. Consideration is automatic with the admission application. No separate application is required.,5690,17048,Requires application,,,
Southern Illinois University-Carbondale,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Professional,High,On-campus,0-None,15000,13334,12341,29675,Merit,48,0.32,19220,10138,No,OOS waiver,High Achievers Alternate Tuition Rate,"This is a program, not a scholarship, that offers a significantly reduced tuition rate to new international students who meet high academic standards (GPA). It is Automatically Awardeded to eligible students.",13334,29675,Automatic consideration,,,affordable
Southern Methodist University,South (Central),"Dallas, TX",Suburb: Large,Coeducational,No,Balanced,Majority,Off-campus,2-Slightly,45000,67038,19064,90102,Merit,165,0.64,43760,42930,No,Full Tuition,President Scholarship,"The most prestigious academic scholarship at SMU. Requires a separate application, essays, and recommendations. Finalists are invited for an on-campus interview.",0,23064,Requires application,Both,Yes,early_admission
Southern New Hampshire University,Northeast (New England),"Boston, MA",Suburb: Midsize,Coeducational,No,Professional,High,Off-campus,0-None,20000,17200,12800,34000,Merit,41,0.39,14855,18395,No,,,,,,Unclear,Early Action Only,,early_admission; affordable
Southern Utah University,West (Rocky Mountains),,Town: Remote,Coeducational,No,Balanced,Very High,On-campus,0-None,25000,21192,9236,34428,Merit,468,0.95,10967,22443,No,,,,,TBD,Unclear,,,affordable
Southwestern Christian University,South (Central),,Suburb: Large,Coeducational,No,Professional,Very High,On-campus,6-Primarily,,20523,9400,33923,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Southwestern University,South (Central),"Austin, TX",City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,40000,53613,16230,73843,Merit,28,1,31967,36519,No,,,,,TBD,Unclear,Both,,early_admission
Spelman College,Southeast (Deep South),,City: Large,Women's,Yes,Arts and Sciences,Exclusively,On-campus,1-Historically,20000,31556,18091,53647,Both,13,0.93,32665,17686,No,Full ride,Presidential and Dovey Johnson Roundtree Scholarship,"These are highly competitive, premier scholarships. Students are selected from the top of the applicant pool. No separate application is required; consideration is automatic with the admission application.",0,4000,Automatic consideration,Both,,early_admission; affordable
Spring Hill College,Southeast (Deep South),,City: Midsize,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,,24054,12040,40094,Merit,86,0.97,23363,,No,10000,Presidential Scholarships,"The link is to a calculator. However, the college website confirms that merit-based awards, like the Presidential Scholarship, are Automatically Awardeded to accepted students based on their academic profile.",14054,30094,Automatic consideration,,,
St. Cloud State University,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,,8812,8494,21306,Merit,,,,,No,OOS waiver,Cultural Sharing Scholarship,"A competitive scholarship that reduces tuition. Requires a separate application, essay, and a commitment to completing cultural sharing hours each semester.",8812,21306,Unclear,,,
St. John Fisher University,Northeast (Mid-Atlantic),,Suburb: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,40000,41190,14908,60098,Merit,14,1,20986,37022,No,,,,,TBD,Unclear,Early Decision only,,early_admission
St. John's College,Northeast (Mid-Atlantic),"Washington, DC",Suburb: Large,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,35000,40684,15908,60592,Both,71,0.97,24964,33146,No,,,,,TBD,Unclear,Both,,early_admission
St. John's College,Southwest,,Rural: Fringe,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,30000,40930,16088,61018,Both,47,0.98,31310,27104,No,,,,,TBD,Unclear,Both,,early_admission; affordable
St. John's University-New York,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,40000,53020,20530,77550,Both,321,0.66,36954,37082,No,Full Tuition,International Merit Scholarship,All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is needed.,0,24530,Automatic consideration,Both,,early_admission
St Lawrence University,Northeast (Mid-Atlantic),,Town: Remote,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,40000,65900,17000,86900,Both,162,0.83,48613,35737,No,Full Tuition,International Scholarships,The university offers both merit-based and need-based scholarships to international students. Consideration for merit awards is automatic upon admission. The CSS Profile is required for need-based aid.,0,21000,Automatic consideration,Both,,early_admission
St. Mary's College IN,Midwest (Great Lakes),,Suburb: Large,Women's,No,Balanced,Very High,On-campus,3-Somewhat,30000,53230,14260,71490,Both,14,1,43834,25446,No,,,,,TBD,Unclear,Early Decision only,,early_admission; affordable
St. Mary's College of Maryland,Northeast (Mid-Atlantic),,Rural: Fringe,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,45000,31312,15244,50556,Merit,4,0.8,7768,42216,No,18000,St Mary's Scholarship,All students are automatically considered for merit-based scholarships upon admission based on their academic record. No separate application is required.,13312,32556,Automatic consideration,Both,,early_admission
St. Mary’s University (Texas),South (Central),"Austin, TX",City: Large,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,25000,37434,12894,54328,Merit,10,0.07,31006,20956,No,Full Tuition,Greehey Scholars Program,"A premier program for business majors. Requires a separate, competitive application process including an on-campus interview.",0,16894,Requires application,,,affordable
St. Mary's University of Minnesota,Midwest (Great Plains),,Town: Distant,Coeducational,No,Professional,Minority,On-campus,3-Somewhat,,45080,11200,60280,Both,26,1,27235,,No,28000,International Student Scholarships,All admitted international students are automatically considered for merit-based scholarships. No separate application is required.,17080,32280,Automatic consideration,,,
St. Norbert College,Midwest (Great Lakes),,Suburb: Midsize,Coeducational,No,Balanced,Very High,On-campus,4-Moderately,35000,45580,14004,63584,Both,27,0.87,29721,31409,No,27000,George Washington Scholar,The top competitive scholarship. Requires a separate application after admission. Finalists are invited to an on-campus competition.,18580,36584,Automatic consideration,,,
St. Olaf College,Midwest (Great Plains),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,15000,59760,13630,77390,Both,303,1,61593,12377,Yes (Need-aware),30000,Buntrock Scholarship,St. Olaf's highest academic merit award. All applicants are automatically considered based on their admission application. No separate application is required.,29760,47390,Automatic consideration,Both,Yes,early_admission; generous_aid; affordable
Stanford University,West Coast,SF/Silicon Valley,Suburb: Large,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,15000,65910,21315,91225,Need,248,0.27,75756,10650,Yes (Need-aware),,,,,,Unclear,Restricted Early Action Only,,early_admission; generous_aid; affordable; global_top_200
Stephen F. Austin State University,South (Central),,Town: Remote,Coeducational,No,Balanced,Very High,On-campus,0-None,30000,23428,13144,40572,Merit,29,0.48,7052,28770,No,OOS waiver,Mexico out-of-state tuition waiver program,This is a program that allows eligible citizens and residents of Mexico to pay in-state tuition. It is not a scholarship. A separate application is required.,11128,28272,Automatic consideration,,,affordable
Stetson University,Southeast,,City: Small,Coeducational,No,Balanced,Majority,On-campus,2-Slightly,20000,57410,17728,79138,Both,189,0.96,56653,18597,No,Full ride,J Ollie Edmunds Scholarship,"A premier, full-cost-of-attendance scholarship. Requires a separate nomination and application process. Focuses on academic excellence, leadership, and character.",0,4000,Requires application,Both,,early_admission; generous_aid; affordable
Stevens Institute of Technology,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Professional,Majority,On-campus,0-None,65000,63462,19124,86586,Merit,88,0.66,18858,64744,No,Full Tuition,Ann P. Neupauer and Global Scholarships,The Ann P. Neupauer Scholarship is a full-tuition award for women in engineering or computer science. The Global Scholarship is for international students. Both require a separate application after admission.,0,23124,Automatic consideration,Both,Yes,early_admission
Stockton University,Northeast (Mid-Atlantic),"Philadelphia, PA",Rural: Fringe,Coeducational,No,Balanced,Very High,On-campus,0-None,30000,24122,15834,43956,Merit,44,0.81,15252,27500,No,,,,,TBD,Unclear,,,affordable
Stonehill College,Northeast (New England),,Suburb: Large,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,45000,57490,16020,77510,Merit,36,0.79,30562,42138,No,not specified,Moreau Honors Scholarship,"Top applicants are invited to the Moreau Honors Program, which includes a scholarship. Consideration is automatic with the admission application. Other Merit Scholarships are also awarded automatically.",,,,Both,,early_admission
Suffolk University,Northeast (New England),"Boston, MA",City: Large,Coeducational,No,Balanced,Majority,On-campus,0-None,55000,47550,21326,72876,Merit,368,0.68,16903,52039,No,not specified,,,,,,Early Action Only,,early_admission
Binghamton University,Northeast (Mid-Atlantic),,Suburb: Midsize,Coeducational,No,Arts and Sciences,High,On-campus,0-None,50000,30243,18809,53052,Merit,138,0.24,5919,45828,No,not specified,International Student Scholarships,A limited number of Merit Scholarships are awarded to international students based on academic excellence. Consideration is automatic with the admission application. No separate application needed.,,,Unclear,Early Action Only,,early_admission
SUNY - Oneonta,Northeast (Mid-Atlantic),,Town: Remote,Coeducational,No,Balanced,Very High,On-campus,0-None,40000,19214,16310,39524,Merit,,,,39042,No,,,,,TBD,Unclear,,,
SUNY - Plattsburgh,Northeast (Mid-Atlantic),,Town: Distant,Coeducational,No,Professional,Very High,On-campus,0-None,,18881,17230,40111,Merit,240,,8517,,No,13500,"Global Diversity Award, Campus Community Award, Acade",A range of merit-based scholarships for new international students. All applicants are automatically considered upon admission. No separate application is required.,5381,26611,Automatic consideration,,,
Stony Brook University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,50000,32454,18478,54932,Limited,416,0.29,3298,48714,No,,,,,TBD,Unclear,Early Action Only,,early_admission
University at Albany,Northeast (Mid-Atlantic),,City: Midsize,Coeducational,No,Arts and Sciences,High,On-campus,0-None,45000,30991,16423,51414,Merit,213,0.56,7168,42012,No,,,,,TBD,Unclear,Early Action Only,,early_admission
University at Buffalo,Northeast (Mid-Atlantic),,Suburb: Large,Coeducational,No,Balanced,Majority,On-campus,0-None,45000,30571,17426,51997,Merit,496,0.2,8830,42496,No,not specified,Flagship Scholarship,A merit-based scholarship for international first-year students. All applicants are automatically considered upon admission. No separate application is needed.,,,Automatic consideration,Early Action Only,,early_admission
SUNY College of Environmental Science and Forestry,Northeast (Mid-Atlantic),,City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,40000,22170,18080,44250,Merit,20,0.48,5035,37781,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Susquehanna University,Northeast (Mid-Atlantic),,Town: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,,59850,16100,79950,Merit,23,0.75,49408,,No,45000,International Student Merit Scholarship,All international applicants are automatically considered for merit-based scholarships upon admission. No separate application is necessary.,14850,34950,Automatic consideration,Both,,early_admission
Swarthmore College,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,10000,65494,20308,89802,Both,78,0.34,77679,7697,Yes (Need-aware),Full Tuition,McCabe Scholarship,"A scholarship for students from specific areas in Southeastern Pennsylvania, Delmarva Peninsula, and Montgomery County, MD. It is not an international student scholarship.",0,24308,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid; affordable
Sweet Briar College,Southeast,,Rural: Fringe,Women's,No,Arts and Sciences,Very High,On-campus,0-None,20000,26160,15230,45390,Both,41,1,25824,18006,No,not specified,Presidential Scholarship,"A competitive, full-tuition scholarship. Requires a separate application, and finalists are invited for an interview. Other merit awards are considered automatically upon admission.",,,,Both,,early_admission; affordable
Syracuse University,Northeast (Mid-Atlantic),,City: Midsize,Coeducational,No,Balanced,Majority,On-campus,1-Historically,80000,65528,19188,88716,Merit,871,0.49,6076,79429,No,Full Tuition,Full Tuition 1870 Scholarship,The premier Merit Scholarship. A select group of top applicants are invited to apply. It is not open to all students.,0,23188,Automatic consideration,Early Decision only,Yes,early_admission
Tarleton State University,South (Central),,Town: Remote,Coeducational,No,Professional,Very High,On-campus,0-None,,26664,10920,41584,Merit,454,,6584,,No,9000,Non-Resident Tuition Waiver,A waiver of out-of-state tuition fees is available to non-residents and international students who receive a competitive university scholarship of a certain amount.,17664,32584,Automatic consideration,,,
Taylor University,Midwest (Great Lakes),,Rural: Distant,Coeducational,No,Balanced,Very High,Off-campus,5-Very,25000,40464,11528,55992,Merit,91,0.85,30343,23649,No,,,,,TBD,Unclear,,,affordable
Temple University,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,Coeducational,No,Professional,High,On-campus,0-None,45000,38837,14744,57581,Merit,399,0.55,13739,43157,No,Full Tuition,President's Scholar Award,The premier scholarship for the most accomplished applicants. Consideration is automatic with the admission application. No separate application is required.,0,18744,Automatic consideration,Early Action Only,,early_admission
Tennessee Tech University,Southeast,,Town: Remote,Coeducational,No,Professional,Very High,On-campus,0-None,25000,15576,12764,32340,Merit,113,0.67,14562,20056,No,,,,,,Unclear,,,affordable
Tennessee Wesleyan University,Southeast,,Town: Distant,Coeducational,No,Professional,Very High,Off-campus,2-Slightly,15000,30814,9458,44272,Both,58,1,27815,14865,,,,,,,Unclear,,,affordable
Texas A & M University-College Station,South (Central),"Houston, TX",City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,25000,40307,13008,57315,Merit,214,0.33,34246,23236,No,OOS waiver,Non-Resident Tuition Waiver,"Based on the PDF, international students who receive a competitive university scholarship of at least $4,000 are eligible to receive a waiver for the out-of-state portion of their tuition.",12413,29421,Automatic consideration,Early Action Only,,early_admission; affordable; global_top_200
Texas A & M University-Commerce,South (Central),"Dallas, TX",Town: Distant,Coeducational,No,Arts and Sciences,High,On-campus,0-None,30000,22326,10840,37166,Merit,45,0.28,9577,26857,No,,,,,,Unclear,,,affordable
Texas Christian University,South (Central),"Dallas, TX",City: Large,Coeducational,No,Professional,High,Off-campus,2-Slightly,30000,61740,16700,82440,Both,414,0.87,48086,27934,No,Full Tuition,Chancellor's Scholars Program,"TCU's most prestigious scholarship, covering full tuition. Requires a separate application and participation in an interview weekend for finalists.",0,20700,By invitation only,Both,Yes,early_admission; affordable
Texas State University,South (Central),"Austin, TX",City: Small,Coeducational,No,Balanced,High,Off-campus,0-None,20000,24507,11555,40062,Merit,216,0.77,20121,19359,No,12000,Assured Scholarship,This program is for Texas residents only and is not applicable to international students.,12507,28062,Automatic consideration,,,affordable
Texas Tech University,South (Central),,City: Large,Coeducational,No,Professional,High,On-campus,0-None,35000,24152,10742,38894,Merit,429,0.74,6761,32150,No,OOS waiver,Presidential Scholarship,Awarded automatically to new international undergraduate students based on their SAT/ACT scores. No separate application is required.,11852,26594,Automatic consideration,,,
The Catholic University of America,Northeast (Mid-Atlantic),"Washington, DC",City: Large,Coeducational,No,Balanced,Majority,On-campus,6-Primarily,40000,58378,19490,81868,Merit,70,0.97,41438,35766,No,Full Tuition,Archdiocesan Scholarship,"A full-tuition scholarship for students from a U.S. Archdiocese or Diocese. Not applicable to most international students. The top general merit award is the University Honors Scholarship, which is awarded automatically.",0,23490,By invitation only,Both,,early_admission
The College of Idaho,West (Rocky Mountains),,Suburb: Midsize,Coeducational,No,Balanced,Very High,On-campus,1-Historically,,37475,12235,53710,Both,145,1,No data,,,,,,,,Unclear,Early Action Only,,early_admission; generous_aid
The College of New Jersey,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Balanced,Very High,On-campus,0-None,40000,25752,14976,44728,,13,0.28,4961,37751,No,,,,,,,Early Decision only,,early_admission
The College of Saint Rose,Northeast (Mid-Atlantic),,City: Midsize,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,60000,37452,14394,55846,Pending,,,,55846,,,,,,,Unclear,,,
The College of Wooster,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,40000,61640,14490,80130,Both,271,1,41883,35667,No,39000,Dean's Scholarship,The top Merit Scholarship awarded by the college. All applicants are automatically considered with their application for admission. No separate application is needed.,22640,41130,Automatic consideration,Both,,early_admission
The Juilliard School,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,50000,54650,22410,81060,Both,138,0.71,35600,46290,,,,,,,Unclear,,,
The New School,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Balanced,Majority,On-campus,0-None,80000,58670,26940,89610,Merit,1962,0.83,11459,78726,No,,,,,,Unclear,Early Action Only,,early_admission
Thomas Aquinas College,West Coast,"Los Angeles, CA",Rural: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,6-Primarily,25000,30200,11200,45400,Need,26,0.74,19953,23447,No,,,,,,,,,affordable
Thomas Jefferson University,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,Coeducational,No,Professional,Majority,On-campus,0-None,50000,47555,15834,67389,Merit,69,0.86,18454,48325,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Tiffin University,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Professional,High,On-campus,1-Historically,25000,33690,12160,49850,Merit,74,0.66,25437,23433,No,,,,,TBD,Unclear,,,affordable
Toccoa Falls College,Southeast (Deep South),,Town: Distant,Coeducational,No,Professional,Very High,Off-campus,6-Primarily,30000,23950,8800,36750,Both,16,0.31,9864,25986,,,,,,,Unclear,,,affordable
Touro University,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Balanced,Minority,On-campus,2-Slightly,35000,22450,13375,39825,Merit,128,0.79,7915,33815,No,,,,,TBD,Unclear,,,
