Common App Member,School Type,Deadline ED,Deadline EDII,Deadline EA,Deadline EAII,Deadline REA,Deadline RD/ Rolling,App Fee - US Citizen (USD),App Fee - INTL (USD),Personal Essay Required?,Courses & Grades,Supplements - Portfolio?,Supplements - Writing,Test Policy,SAT/ACT Tests Used,INTL,Recommendation - Teacher Evaluations Number required,Recommendation - Other Evaluations Number required,Mid Year Report required,Counselor Recommendation required,Saves Forms
Maryland Institute College of Art,Coed,,,,,,2/1/2026,$60,$60,Yes,,,,N,None,See Website,,,,,Y
Marymount Manhattan College,Coed,11/1/2025,,12/1/2025,,,5/1/2026,$0,$0,,,,,N,None,See Website,,,,Y,Y
Marymount University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Maryville University of St. Louis,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Marywood University,Coed,,,,,,Rolling,$0,$50,,,,,N,See Website,D or I or T or P,,,,,Y
Massachusetts College of Art and Design,Coed,,,12/1/2025,,,2/15/2026,$70,$70,Yes,,COL,,N,None,See Website,1,,,,Y
Massachusetts College of Liberal Arts,Coed,,,12/1/2025,,,3/1/2026,$0,$0,Yes,,,,I,None,See Website,1,,,Y,Y
Massachusetts College of Pharmacy and Health Sciences,Coed,,,11/1/2025,12/1/2025,,2/1/2026,$0,$0,Yes,,,,S,See Website,See Website,1,,Y,Y,Y
Massachusetts Maritime Academy,Coed,,,11/1/2025,,,2/15/2026,$50,$50,Yes,,,,N,None,See Website,,,,Y,Y
McDaniel College,Coed,11/1/2025,,11/15/2025,12/15/2025,,2/1/2026,$0,$0,,,,,S,See Website,D or I or T,,,,,
McKendree University,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,D or I or T or P,,,,,Y
McMurry University,Coed,,,,,,Rolling,$0,$30,,,,,N,None,D or I or T,,,,,
McPherson College,Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T,,,,,
Menlo College,Coed,,,11/30/2025,,,3/15/2026,$0,$0,,,,,N,None,D or I or T,,,,,
Mercer University,Coed,,,11/1/2025,12/1/2025,,2/1/2026,$50,$50,Yes,,,,A,SAT without essay or ACT without science or writing,D or I or T,,,,,Y
Mercy University,Coed,,,,,,Rolling,$40,$40,,,,,S,See Website,See Website,,,,,Y
Mercyhurst University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
Meredith College,Women,,,10/30/2025,,,2/18/2026,$40,$40,,,,,N,None,See Website,,,,,Y
Merrimack College,Coed,11/15/2025,,11/15/2025,1/15/2026,,2/15/2026,$0,$0,,,,,I,None,C or D or I or T or P,,,,,Y
Messiah University,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,See Website,,,,,Y
Methodist University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Metropolitan College of New York,Coed,,,,,,Rolling,$35,$35,,,,,N,None,D or I or T or P,,,,,
Metropolitan State University of Denver (MSU Denver),Coed,,,,,,Rolling,$0,$0,,,,Yes,N,None,See Website,,,,,Y
Miami University (Ohio),Coed,11/1/2025,,11/1/2025,12/1/2025,,2/1/2026,$50,$70,Yes,,,,N,None,See Website,,,,,Y
Michigan State University,Coed,,,11/1/2025,,,4/1/2026,$75,$75,Yes,,,,F,See Website,See Website,,,,,Y
Michigan Technological University,Coed,,,,,,4/30/2026,$0,$35,,,,,S,See Website,See Website,,,,,
Middlebury College,Coed,11/3/2025,1/5/2026,,,,1/5/2026,$75,$75,Yes,,SR,,N,None,See Website,2,,Y,Y,Y
Midway University,Coed,,,,,,Rolling,$0,$30,,Yes,,,S,See Website,See Website,,,,,Y
Midwestern State University,Coed,,,,,,Rolling,$50,$50,,,,,S,None,C or D or I or T or P,,,,,
Millersville University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Milligan University,Coed,,,,,,Rolling,$30,$30,,Yes,,,F,None,I or T,,,,,Y
Millikin University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Millsaps College,Coed,,,11/15/2025,,,4/1/2026,$0,$0,,,,,F,None,D or I or T,,,,,
Milwaukee Institute of Art & Design,Coed,,,12/1/2025,,,2/15/2026,$0,$0,,Yes,,,N,None,D or I or T,,,,,
Milwaukee School of Engineering,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Minerva University,Coed,,,11/1/2025,,,1/13/2026,$0,$0,,,,,N,None,See Website,,,,,
Misericordia University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
Mississippi College,Coed,,,,,,Rolling,$40,$50,,,,,A,See Website,See Website,,,,,
Mississippi State University,Coed,,,,,,Rolling,$50,$60,,,,,F,See Website,See Website,,,,,
Mississippi Valley State University,Coed,,,,,,Rolling,$0,$0,,Yes,,,S,SAT without essay or ACT without science or writing,D or I or T,,,,,
Missouri Southern State University,Coed,,,,,,Rolling,$30,$60,,,,,A,None,I or T or P,,,,,Y
Missouri State University,Coed,,,,,,Rolling,$0,$40,,,,,S,See Website,See Website,,,,,
Missouri University of Science and Technology,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,Y
Missouri Western State University,Coed,,,,,,Rolling,$0,$50,,,,,N,None,D or I or T,,,,,
Mitchell College,Coed,,,11/15/2025,1/15/2026,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Mohamed bin Zayed University of Artificial Intelligence,Coed,11/15/2025,,,,,4/30/2026,$0,$0,,,,,F,None,C or I or T or P,,,,,
Molloy University,Coed,,,12/1/2025,,,Rolling,$45,$45,Yes,,,,N,None,D or I or T or P,,,,,Y
Mondragon University,Coed,,3/2/2026,11/3/2025,5/4/2026,,1/12/2026,$0,$0,,,,,F,None,See Website,,,,,
Monmouth College (IL),Coed,,,11/15/2025,12/15/2025,,4/1/2026,$0,$0,,,,,S,See Website,D or I or T or P,,,,,Y
Monmouth University,Coed,11/15/2025,,12/1/2025,,,3/1/2026,$60,$60,Yes,,,Yes,N,See Website,D or I or T,,,,Y,Y
Montana State University,Coed,,,,,,Rolling,$38,$38,,,,,N,None,See Website,,,,,
Montana State University Billings,Coed,,,,,,Rolling,$30,$35,,,,,N,None,See Website,,,,,
Montclair State University,Coed,,,12/1/2025,,,Rolling,$65,$65,,,,,N,See Website,See Website,,,Y,,Y
Montreat College,Coed,,,,,,Rolling,$15,$15,,Yes,,,F,None,D or T,,,,,
Montserrat College of Art,Coed,,,12/1/2025,,,Rolling,$50,$50,Yes,,,,S,None,See Website,1,,,,Y
Moore College of Art and Design,Women,,,,,,Rolling,$60,$60,,,SR,,F,See Website,See Website,,,,,Y
Moravian University,Coed,,,11/15/2025,,,3/15/2026,$0,$0,,,COL,,N,None,D or I or T,,,,Y,
Morehead State University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Morehouse College,Men,11/1/2025,,12/15/2025,,,2/1/2026,$50,$50,Yes,Yes,,,N,None,C or I or T or P,1,,,Y,Y
Morgan State University,Coed,,,12/1/2025,,,4/1/2026,$35,$35,,,,,F,See Website,D or I or T,,,,,
Morningside University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
Morris Brown College,Coed,,,,,,Rolling,$30,$30,Yes,,,,S,SAT without essay or ACT without science or writing,See Website,2,,,Y,
Mount Aloysius College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Mount Holyoke College,Women,11/15/2025,1/5/2026,,,,1/15/2026,$0,$0,Yes,,SR,Yes,N,See Website,See Website,2,,Y,Y,Y
Mount Marty University,Coed,,,,,,7/29/2026,$0,$0,Yes,,,,N,None,D,,,,,
Mount Mary University,Women,,,,,,Rolling,$0,$0,,,,,F,None,See Website,,,,,Y
Mount Saint Mary College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Mount Saint Mary's University Los Angeles,Women,,,12/1/2025,,,Rolling,$0,$0,Yes,,,,N,See Website,D or I or T or P,,,,,Y
Mount St. Joseph University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
Mount St. Mary's University,Coed,,,11/1/2025,12/1/2025,,Rolling,$25,$25,,,,,S,See Website,I or T,,,,,
Mount Vernon Nazarene University,Coed,,,,,,7/30/2026,$25,$25,,,,,N,None,See Website,,,,,
Muhlenberg College,Coed,11/15/2025,2/1/2026,12/1/2025,,,2/1/2026,$0,$0,Yes,,,,S,See Website,See Website,1,,Y,Y,
Muskingum University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Naropa University,Coed,,,,,,Rolling,$25,$25,,,,,N,None,See Website,,,,,Y
National Louis University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Nazareth University,Coed,11/1/2025,,12/1/2025,,,2/1/2026,$0,$0,Yes,,,,S,See Website,See Website,,,,,Y
Nebraska Wesleyan University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Neumann University,Coed,,,12/1/2025,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
New College of Florida,Coed,,,11/1/2025,2/1/2026,,4/1/2026,$0,$0,Yes,,,,A,See Website,I or T,,,,,Y
New England College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,Y,,
New England Institute of Technology,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,I or T,,,Y,,Y
New Jersey City University,Coed,,,,,,Rolling,$50,$50,,,,,N,None,See Website,,,,,Y
New Jersey Institute of Technology,Coed,,,11/15/2025,12/15/2025,,Rolling,$75,$75,Yes,,SR,,S,See Website,D or I or T or P,1,,Y,Y,Y
New Mexico Institute of Mining and Technology,Coed,,,,,,7/29/2026,$0,$0,,,,,S,None,I or T,,,,,
New Mexico State University,Coed,,,,,,Rolling,$25,$50,,,,,N,None,D or I or T,,,,,
New York Institute of Technology (NYIT),Coed,,,,,,Rolling,$50,$50,Yes,,COL,Yes,S,See Website,See Website,,,,,Y
"New York School of Career & Applied Studies of Touro
College & University",Coed,,,,,,7/24/2026,$0,$0,,,,,N,None,I or T or P,,,,,
New York University,Coed,11/1/2025,1/1/2026,,,,1/5/2026,$85,$85,Yes,,SR,,N,See Website,See Website,,,,,Y
Newberry College,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,See Website,D or I or T,,,,,
Newman University,Coed,,,11/1/2025,12/1/2025,,Rolling,$0,$25,,,,,F,None,See Website,,,,,
Niagara University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,D or I or T,,,,Y,
Nichols College,Coed,,,,,,Rolling,$0,$50,Yes,,,,F,None,D or I or T or P,1,,,,Y
Norfolk State University,Coed,,,11/1/2025,,,3/15/2026,$25,$25,,,,,S,SAT without essay or ACT without science or writing,I or T,,,,,Y
North American University,Coed,,,,,,7/28/2026,$0,$75,,Yes,,,S,See Website,D or I or T,,,,,
North Carolina A&T State University,Coed,,,11/1/2025,,,2/1/2026,$60,$60,,,,,F,SAT without essay or ACT without science or writing,C or D or I or T or P,,,,,
North Carolina Central University,Coed,,,11/15/2025,12/15/2025,,Rolling,$50,$50,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
North Carolina State University,Coed,,,11/1/2025,,,1/15/2026,$85,$100,Yes,,,,S,See Website,See Website,,,Y,,
North Carolina Wesleyan University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
North Central College,Coed,,,,,,Rolling,$0,$0,,,,,N,SAT without essay or ACT without science or writing,D or I or T,,,,,Y
North Park University,Coed,,,,,,Rolling,$0,$0,,,,Yes,N,None,See Website,,,,,Y
Northeastern Illinois University,Coed,,,,,,7/29/2026,$0,$0,,,,,S,None,C or D or I or T or P,,,,,
Northeastern State University,Coed,,,,,,7/29/2026,$25,$25,,,,,S,See Website,I or T,,,,,
Northeastern University,Coed,11/1/2025,1/1/2026,11/1/2025,,,1/1/2026,$75,$75,Yes,,,,N,See Website,See Website,1,,Y,Y,Y
Northern Arizona University,Coed,,,,,,7/29/2026,$40,$50,,Yes,,,N,See Website,See Website,,,,,
Northern Illinois University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Northern Kentucky University,Coed,,,,,,7/28/2026,$0,$40,,,,,S,See Website,I or T,,,,,
Northern Michigan University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Northwest Missouri State University,Coed,,,,,,Rolling,$15,$75,,,,,S,None,See Website,,,,,
Northwest Nazarene University,Coed,,,11/15/2025,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,D or I or T,,,,,Y
Northwest University,Coed,,,11/15/2025,,,Rolling,$0,$30,,,,,N,None,See Website,,,,,
Northwestern University,Coed,11/1/2025,,,,,1/2/2026,$75,$75,,,,,F,See Website,See Website,1,,Y,Y,
Northwestern University in Qatar,Coed,,,11/1/2025,,,1/15/2026,$75,$75,,,,,F,See Website,D or I or T,1,,Y,Y,
Northwood University,Coed,,,,,,Rolling,$0,$30,,,,,F,None,I or T,,,,,
Norwich University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Notre Dame of Maryland University,Coed,,,11/1/2025,12/1/2025,,Rolling,$0,$0,,,,,S,See Website,See Website,1,,,Y,Y
Nova Southeastern University,Coed,11/1/2025,,11/1/2025,,,2/1/2026,$50,$50,,,,,A,See Website,See Website,,,,,Y
Oakland University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Oakton College,Coed,,,,,,Rolling,$0,$0,,,,,F,SAT without essay or ACT without science or writing,I or T,,,,,
Oberlin College of Arts and Sciences,Coed,11/1/2025,1/2/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,COL,,N,See Website,See Website,1,,Y,Y,
Oberlin Conservatory of Music,Coed,11/1/2025,,,,,12/1/2025,$100,$100,Yes,,,,N,None,See Website,,,,Y,
Occidental College,Coed,11/15/2025,1/10/2026,,,,1/10/2026,$0,$0,Yes,,SR,,N,None,D or I or T,1,,Y,Y,
Oglethorpe University,Coed,,,11/1/2025,,,5/1/2026,$50,$50,Yes,,COL,,N,See Website,See Website,,,,,Y
Ohio Dominican University,Coed,,,11/1/2025,12/1/2025,,Rolling,$0,$0,,,,,F,None,See Website,1,,,,
Ohio Northern University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,
Ohio University,Coed,,,11/15/2025,,,Rolling,$50,$70,,,,Yes,N,None,See Website,,,,,Y
Ohio Wesleyan University,Coed,11/15/2025,,12/1/2025,,,3/1/2026,$0,$0,Yes,,,Yes,N,See Website,D or I or T,,,,,Y
Oklahoma Baptist University,Coed,,,,,,Rolling,$0,$0,,Yes,,,F,SAT without essay or ACT without science or writing,D or I or T,,,,,
Oklahoma Christian University,Coed,,,,,,4/3/2026,$0,$0,,,,,F,See Website,D or I or T,,,,,
Oklahoma City University,Coed,,,,,,Rolling,$55,$60,Yes,,,,S,See Website,D or I or T or P,,,,Y,Y
Oklahoma State University,Coed,,,,,,Rolling,$50,$90,,,,,S,See Website,I or T or P,,,,,
Old Dominion University,Coed,,,12/1/2025,,,2/1/2026,$50,$50,,,,,N,See Website,See Website,,,,,Y
Ole Miss - The University of Mississippi,Coed,,,,,,Rolling,$75,$75,,,,,S,See Website,C or D or I or T or P,,,,,
Oral Roberts University,Coed,,,11/1/2025,,,2/1/2026,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Oregon State University,Coed,,,11/3/2025,2/2/2026,,Rolling,$65,$65,Yes,,,,N,None,See Website,,,,,
Oregon Tech,Coed,,,11/1/2025,,,3/1/2026,$50,$50,,Yes,,,N,None,See Website,,,,,
Otis College of Art and Design,Coed,,,12/5/2025,,,Rolling,$50,$50,Yes,,,,N,None,D or I or T or P,,,,,Y
Otterbein University,Coed,,,12/15/2025,,,Rolling,$0,$0,Yes,,,,S,See Website,D or I or T,,,,,Y
Pace University,Coed,11/1/2025,,11/15/2025,12/1/2025,,2/15/2026,$50,$50,Yes,,,,N,See Website,D or I or T or P,1,,,Y,Y
Pacific Lutheran University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,,
Pacific Northwest College of Art,Coed,,,11/15/2025,,,2/1/2026,$0,$0,Yes,,,,N,None,See Website,,,,,
Pacific University Oregon,Coed,,,11/1/2025,1/15/2026,,Rolling,$0,$0,Yes,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Paine College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Palm Beach Atlantic University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T,,,,,Y
Park University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or T,,,,,
Paul Smith's College,Coed,,,11/17/2025,,,3/12/2026,$0,$0,,,,,N,None,See Website,,,,,
Penn State,Coed,,,11/1/2025,,,Rolling,$65,$75,,,,,N,See Website,See Website,,,,,Y
Pennsylvania College of Art & Design,Coed,,,,,,Rolling,$0,$0,Yes,,COL,,I,None,D or I or T,,,,,
Pennsylvania College of Technology,Coed,,,,,,Rolling,$0,$0,,,,,N,SAT with essay or ACT with writing,D or I or T or P,,,,,Y
Pennsylvania Western University,Coed,,,,,,Rolling,$35,$35,,,,,S,See Website,See Website,,,,,
Pepperdine University,Coed,11/3/2025,,11/3/2025,,,1/15/2026,$70,$70,Yes,,,,S,See Website,I or T,1,,,,
Pfeiffer University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Piedmont University,Coed,,,,,,7/17/2026,$25,$30,,,,,F,None,See Website,,,,,Y
Pitzer College,Coed,11/15/2025,1/12/2026,,,,1/12/2026,$70,$70,Yes,,,,I,None,See Website,1,,Y,,Y
Plymouth State University,Coed,,,,,,Rolling,$50,$50,Yes,,,,S,See Website,See Website,,,,,Y
Point Loma Nazarene University,Coed,,,11/15/2025,,,2/15/2026,$55,$55,Yes,,,,N,See Website,See Website,1,,Y,,Y
Point Park University,Coed,,,,,,Rolling,$0,$0,,,,Yes,F,None,D or I or T,,,,,
Pomona College,Coed,11/8/2025,1/8/2026,,,,1/8/2026,$80,$80,Yes,,,,N,SAT without essay or ACT with science,D or I or T,2,,Y,Y,
Portland State University,Coed,,,,,,7/27/2026,$60,$60,,,,,N,See Website,See Website,,,,,Y
Pratt Institute,Coed,,,11/15/2025,,,4/15/2026,$50,$90,,,SR,,N,See Website,C or D or I or T or P,,,Y,,Y
Presbyterian College,Coed,,,11/1/2025,,,2/1/2026,$0,$0,,,,Yes,N,None,See Website,,,,,
Prescott College,Coed,,,,,,Rolling,$0,$0,,Yes,,Yes,N,None,I or T,,,,,Y
Princeton University,Coed,,,,,11/1/2025,1/1/2026,$75,$75,Yes,,COL,,N,See Website,See Website,2,,Y,Y,Y
Principia College,Coed,11/1/2025,,12/1/2025,1/15/2026,,3/15/2026,$0,$75,,,,,F,See Website,D or I or T,,,Y,,Y
Providence College,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$70,$70,Yes,,SR,,N,See Website,See Website,,,Y,Y,
"Purchase College, SUNY",Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,,,,S,See Website,D or I or T,1,,,Y,Y
Purdue University,Coed,,,11/1/2025,,,1/15/2026,$60,$60,Yes,Yes,,,A,See Website,See Website,,,,,Y
Purdue University Fort Wayne,Coed,,,,,,Rolling,$30,$30,,,,,N,None,See Website,,,,,Y
Purdue University Northwest,Coed,,,,,,Rolling,$25,$25,,,,,F,None,D or I or T,,,,,
"Queen's University, Canada",Coed,,,,,,Rolling,$100,$100,,,,,S,See Website,See Website,,,Y,,
Queens University of Charlotte,Coed,11/14/2025,,11/14/2025,1/16/2026,,3/13/2026,$0,$0,,,,,N,None,See Website,,,,,Y
Quincy University,Coed,,,,,,Rolling,$0,$0,,,,,N,SAT without essay or ACT without science or writing,See Website,,,,,
Quinnipiac University,Coed,11/1/2025,,11/15/2025,,,2/1/2026,$65,$65,Yes,,,,S,See Website,C or D or I or T or P,,,,,
Radford University,Coed,,,11/1/2025,,,3/1/2026,$0,$0,,,,,S,See Website,See Website,,,,,
Ramapo College of New Jersey,Coed,11/1/2025,,12/15/2025,,,2/1/2026,$65,$65,Yes,,,,S,See Website,See Website,1,,,,Y
Randolph College,Coed,,,11/15/2025,,,3/1/2026,$0,$0,,,COL,,S,See Website,D or I or T or P,,,,,Y
Randolph-Macon College,Coed,11/15/2025,,10/17/2025,12/10/2025,,3/1/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
Reed College,Coed,11/15/2025,7/15/2026,11/15/2025,,,1/15/2026,$0,$0,Yes,,,Yes,N,None,See Website,2,,Y,Y,Y
Regent University,Coed,,,,,,5/1/2026,$0,$0,,,,,F,See Website,See Website,,,,,
Regis College,Coed,,,11/15/2025,,,2/1/2026,$0,$0,Yes,,,,I,None,C or D or I or T,,,Y,Y,Y
Regis University,Coed,,,10/15/2025,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Reinhardt University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
Rend Lake College,Coed,,,,,,Rolling,$0,$0,,,,,F,None,See Website,,,,,
Rensselaer Polytechnic Institute,Coed,11/1/2025,1/5/2026,12/4/2025,,,1/21/2026,$70,$70,Yes,,,Yes,S,See Website,See Website,1,,Y,Y,
Rhode Island College,Coed,,,12/15/2025,,,Rolling,$50,$50,,,,,S,See Website,I or T or P,,,,,Y
Rhode Island School of Design,Coed,11/3/2025,,,,,1/20/2026,$60,$60,Yes,,SR,,N,See Website,D or I or T,,,,,
Rhodes College,Coed,11/1/2025,1/15/2026,11/15/2025,,,1/15/2026,$0,$0,Yes,,,,N,None,D or I or T,1,,Y,Y,
Rice University,Coed,11/1/2025,1/4/2026,,,,1/4/2026,$75,$75,Yes,,,Yes,N,None,See Website,2,,Y,Y,
Richard Bland College,Coed,,,,,,Rolling,$35,$35,,,,,N,None,I or T,,,,,Y
Richmond The American International University in London,Coed,,,,,,Rolling,$50,$50,Yes,,,,F,None,I,1,,,Y,Y
Rider University,Coed,,,11/15/2025,,,Rolling,$60,$75,Yes,,,,S,See Website,D or I or T or P,,,,Y,Y
Ringling College of Art and Design,Coed,,,11/1/2025,,,Rolling,$70,$70,Yes,,SR,,N,None,D or I or T,,,,,
Ripon College,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Rivier University,Coed,,,11/15/2025,12/15/2025,,Rolling,$0,$0,Yes,,,,N,None,D or I or T or P,,,,Y,Y
Roanoke College,Coed,11/1/2025,,,,,3/15/2026,$0,$0,,,,,S,See Website,See Website,,,,,Y
Robert Morris University (PA),Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,Y
Roberts Wesleyan University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
Rochester Institute of Technology,Coed,11/1/2025,1/1/2026,11/1/2025,,,1/15/2026,$65,$65,Yes,,,,N,See Website,See Website,,,Y,Y,Y
Rockford University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Rockhurst University,Coed,,,,,,7/28/2026,$0,$0,,,,,N,None,See Website,,,,,
Roger Williams University,Coed,,,11/15/2025,,,3/1/2026,$55,$55,,,,,S,See Website,D or I or T,1,,,Y,Y
Rollins College,Coed,11/15/2025,1/5/2026,11/15/2025,,,2/1/2026,$0,$0,Yes,,,,S,See Website,D or I or T,,,Y,Y,Y
Roosevelt University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Rose-Hulman Institute of Technology,Coed,,,11/1/2025,,,2/1/2026,$65,$65,Yes,,,,N,See Website,See Website,1,,Y,Y,
Rowan University,Coed,,,,,,4/1/2026,$65,$45,Yes,,SR,,S,See Website,See Website,1,,,,Y
Russell Sage College,Coed,,,,,,Rolling,$0,$0,,,,,S,None,See Website,,,,Y,Y
Rutgers University,Coed,,,11/1/2025,,,12/1/2025,$70,$70,Yes,,,,N,See Website,See Website,,,,,
Sacred Heart University,Coed,11/15/2025,1/15/2026,12/1/2025,2/1/2026,,7/28/2026,$50,$50,Yes,,,,N,None,C or D or I or T or P,1,,Y,Y,Y
Saint Anselm College,Coed,12/1/2025,,12/1/2025,,,2/1/2026,$50,$50,Yes,,,,N,None,D or I or T,,,Y,Y,Y
Saint Elizabeth University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Saint Francis University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Saint John's University (MN),Coordinate,,,11/1/2025,12/1/2025,,1/15/2026,$0,$0,,,,,S,See Website,D or I or T or P,,,,,
Saint Joseph's College of Maine,Coed,,,11/15/2025,,,Rolling,$0,$0,,,,,S,None,T,,,,Y,
Saint Joseph's University,Coed,11/15/2025,1/15/2026,11/15/2025,,,2/1/2026,$0,$0,Yes,,,,N,SAT without essay or ACT without science or writing,I or T,,,,Y,Y
Saint Leo University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,Y
Saint Louis University,Coed,11/1/2025,1/15/2026,12/1/2025,,,7/30/2026,$0,$0,Yes,,SR,,N,See Website,See Website,,,,,Y
Saint Louis University- Madrid,Coed,,,,,,Rolling,$0,$0,Yes,,,,F,See Website,See Website,,,,,Y
Saint Martin's University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,1,,,Y,Y
Saint Mary's College of California,Coed,,,11/1/2025,,,1/15/2026,$60,$60,Yes,,,,N,None,See Website,,,,,
"Saint Mary's College, Notre Dame, Indiana",Women,11/15/2025,,,,,2/15/2026,$0,$0,,,SR,,S,See Website,See Website,,,,Y,Y
Saint Mary's University of Minnesota,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,Y
Saint Mary-of-the- Woods College,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,I or T,,,,,
Saint Michael's College,Coed,,,,,,Rolling,$40,$40,,,,,N,None,D or I or T,,,Y,,
Saint Peter's University,Coed,,,,,,Rolling,$0,$0,Yes,,,,S,See Website,D or I or T or P,1,,,Y,
Saint Vincent College,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,See Website,,,,,Y
Saint Xavier University,Coed,,,11/1/2025,,,7/29/2026,$0,$0,,,,,N,See Website,D or I or T,,,,,
Salem College,Women,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Salem State University,Coed,,,11/15/2025,,,6/1/2026,$50,$50,,,,,N,None,See Website,,,,,
Salisbury University,Coed,11/15/2025,,12/1/2025,,,1/15/2026,$50,$50,Yes,,,,S,See Website,I or T,,,,Y,Y
Salve Regina University,Coed,11/1/2025,,11/1/2025,1/5/2026,,2/1/2026,$50,$0,Yes,,,,F,See Website,See Website,1,,Y,Y,Y
Salzburg College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Sam Houston State University,Coed,,,,,,7/1/2026,$50,$90,,,,,S,See Website,D or I or T,,,,,
Samford University,Coed,,,11/1/2025,,,Rolling,$50,$50,Yes,,,,S,See Website,See Website,1,,,,Y
San Francisco Bay University,Coed,,,,,,2/15/2026,$0,$0,,,,,N,None,D or I or T or P,,,,,
Santa Clara University,Coed,11/1/2025,1/7/2026,11/1/2025,,,1/7/2026,$75,$75,Yes,,,,N,See Website,See Website,1,,Y,,
Sarah Lawrence College,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,COL,,N,See Website,D or I or T,1,,,Y,Y
Sauk Valley Community College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
